Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","mintboard-logo",75.737500,-102.200000,180.000000,bottom
"U1","ProMicro","ProMicro-SMD",106.762500,-96.725000,270.000000,bottom
"D1","D_Small","D_SOD-123",62.050000,-93.987500,90.000000,top
"D2","D_Small","D_SOD-123",69.350000,-93.987500,90.000000,top
"D3","D_Small","D_SOD-123",76.650000,-93.987500,90.000000,top
"D4","D_Small","D_SOD-123",83.950000,-93.987500,90.000000,top
"D5","D_Small","D_SOD-123",91.250000,-93.987500,90.000000,top
"D6","D_Small","D_SOD-123",98.550000,-93.987500,90.000000,top
"D7","D_Small","D_SOD-123",105.850000,-93.987500,90.000000,top
"D8","D_Small","D_SOD-123",113.150000,-93.987500,90.000000,top
"D9","D_Small","D_SOD-123",120.450000,-93.987500,90.000000,top
"D10","D_Small","D_SOD-123",127.750000,-93.987500,90.000000,top
"D11","D_Small","D_SOD-123",135.050000,-93.987500,90.000000,top
"D12","D_Small","D_SOD-123",139.612500,-101.287500,90.000000,top
"D13","D_Small","D_SOD-123",62.962500,-101.287500,90.000000,top
"D14","D_Small","D_SOD-123",71.175000,-101.287500,90.000000,top
"D15","D_Small","D_SOD-123",78.475000,-101.287500,90.000000,top
"D16","D_Small","D_SOD-123",85.775000,-101.287500,90.000000,top
"D17","D_Small","D_SOD-123",93.075000,-101.287500,90.000000,top
"D18","D_Small","D_SOD-123",100.375000,-101.287500,90.000000,top
"D19","D_Small","D_SOD-123",107.675000,-101.287500,90.000000,top
"D20","D_Small","D_SOD-123",114.975000,-101.287500,90.000000,top
"D21","D_Small","D_SOD-123",122.275000,-101.287500,90.000000,top
"D22","D_Small","D_SOD-123",129.575000,-101.287500,90.000000,top
"D23","D_Small","D_SOD-123",132.312500,-101.287500,90.000000,top
"D24","D_Small","D_SOD-123",64.787500,-108.587500,90.000000,top
"D25","D_Small","D_SOD-123",67.525000,-108.587500,90.000000,top
"D26","D_Small","D_SOD-123",74.825000,-108.587500,90.000000,top
"D27","D_Small","D_SOD-123",82.125000,-108.587500,90.000000,top
"D28","D_Small","D_SOD-123",89.425000,-108.587500,90.000000,top
"D29","D_Small","D_SOD-123",96.725000,-108.587500,90.000000,top
"D30","D_Small","D_SOD-123",104.025000,-108.587500,90.000000,top
"D31","D_Small","D_SOD-123",111.325000,-108.587500,90.000000,top
"D32","D_Small","D_SOD-123",118.625000,-108.587500,90.000000,top
"D33","D_Small","D_SOD-123",125.925000,-108.587500,90.000000,top
"D34","D_Small","D_SOD-123",134.137500,-108.587500,90.000000,top
"D35","D_Small","D_SOD-123",63.875000,-115.887500,90.000000,top
"D36","D_Small","D_SOD-123",73.000000,-115.887500,90.000000,top
"D37","D_Small","D_SOD-123",82.125000,-115.887500,90.000000,top
"D38","D_Small","D_SOD-123",94.900000,-115.887500,90.000000,top
"D39","D_Small","D_SOD-123",114.975000,-115.887500,90.000000,top
"D40","D_Small","D_SOD-123",124.100000,-115.887500,90.000000,top
"D41","D_Small","D_SOD-123",133.225000,-115.887500,90.000000,top
"S1","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",58.400000,-94.900000,270.000000,top
"S2","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",65.700000,-94.900000,270.000000,top
"S3","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",73.000000,-94.900000,270.000000,top
"S4","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",80.300000,-94.900000,270.000000,top
"S5","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",87.600000,-94.900000,270.000000,top
"S6","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",94.900000,-94.900000,270.000000,top
"S7","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",102.200000,-94.900000,270.000000,top
"S8","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",109.500000,-94.900000,270.000000,top
"S9","PTS_647_SM38_SMTR2_LFS","SW_PTS_647_SM38_SMTR2_LFS_1133",116.800000,-94.900000,270.000000,top
