Designator,Ref,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,62.05,-93.9875,90,top
D2,D_Small,D_SOD-123,69.35,-93.9875,90,top
D3,D_Small,D_SOD-123,76.65,-93.9875,90,top
D4,D_Small,D_SOD-123,83.95,-93.9875,90,top
D5,D_Small,D_SOD-123,91.25,-93.9875,90,top
D6,D_Small,D_SOD-123,98.55,-93.9875,90,top
D7,D_Small,D_SOD-123,105.85,-93.9875,90,top
D8,D_Small,D_SOD-123,113.15,-93.9875,90,top
D9,D_Small,D_SOD-123,120.45,-93.9875,90,top
D10,D_Small,D_SOD-123,127.75,-93.9875,90,top
D11,D_Small,D_SOD-123,135.05,-93.9875,90,top
D12,D_Small,D_SOD-123,139.6125,-101.2875,90,top
D13,D_Small,D_SOD-123,62.9625,-101.2875,90,top
D14,D_Small,D_SOD-123,71.175,-101.2875,90,top
D15,D_Small,D_SOD-123,78.475,-101.2875,90,top
D16,D_Small,D_SOD-123,85.775,-101.2875,90,top
D17,D_Small,D_SOD-123,93.075,-101.2875,90,top
D18,D_Small,D_SOD-123,100.375,-101.2875,90,top
D19,D_Small,D_SOD-123,107.675,-101.2875,90,top
D20,D_Small,D_SOD-123,114.975,-101.2875,90,top
D21,D_Small,D_SOD-123,122.275,-101.2875,90,top
D22,D_Small,D_SOD-123,129.575,-101.2875,90,top
D23,D_Small,D_SOD-123,132.3125,-101.2875,90,top
D24,D_Small,D_SOD-123,64.7875,-108.5875,90,top
D25,D_Small,D_SOD-123,67.525,-108.5875,90,top
D26,D_Small,D_SOD-123,74.825,-108.5875,90,top
D27,D_Small,D_SOD-123,82.125,-108.5875,90,top
D28,D_Small,D_SOD-123,89.425,-108.5875,90,top
D29,D_Small,D_SOD-123,96.725,-108.5875,90,top
D30,D_Small,D_SOD-123,104.025,-108.5875,90,top
D31,D_Small,D_SOD-123,111.325,-108.5875,90,top
D32,D_Small,D_SOD-123,118.625,-108.5875,90,top
D33,D_Small,D_SOD-123,125.925,-108.5875,90,top
D34,D_Small,D_SOD-123,134.1375,-108.5875,90,top
D35,D_Small,D_SOD-123,63.875,-115.8875,90,top
D36,D_Small,D_SOD-123,73,-115.8875,90,top
D37,D_Small,D_SOD-123,82.125,-115.8875,90,top
D38,D_Small,D_SOD-123,94.9,-115.8875,90,top
D39,D_Small,D_SOD-123,114.975,-115.8875,90,top
D40,D_Small,D_SOD-123,124.1,-115.8875,90,top
D41,D_Small,D_SOD-123,133.225,-115.8875,90,top
S1,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,58.4,-94.9,270,top
S2,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,65.7,-94.9,270,top
S3,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,73,-94.9,270,top
S4,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,80.3,-94.9,270,top
S5,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,87.6,-94.9,270,top
S6,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,94.9,-94.9,270,top
S7,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,102.2,-94.9,270,top
S8,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,109.5,-94.9,270,top
S9,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,116.8,-94.9,270,top
S10,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,124.1,-94.9,270,top
S11,PTS_647_SM38_SMTR2_LFS,SW_PTS_647_SM38_SMTR2_LFS_1133,131.4,-94.9,270,top
